end_type,primary_category,category,scheme,Benchmark,Riskometer-Scheme,Riskometer-Benchmark,Nav-Regular,Nav-Direct,Return-Regular,Return-Direct,Return-BenchMark,period-return-bench-direct,Daily AUM,regular_isin,direct_isin,data_plan_id
Open Ended,Equity,Large Cap,Aditya Birla Sun Life Frontline Equity Fund,NIFTY 100 Total Return Index,Very High,Very High,499.9100|data-nav-reg=499.9100|data-prev-nav-reg=508.3000,550.5100|data-nav-dir=550.5100|data-prev-nav-dir=559.7200,16.83|data-1y=14.70|data-3y=13.02|data-5y=16.83|data-10y=12.44|data-sl=19.11,17.61|data-1y=15.46|data-3y=13.78|data-5y=17.61|data-10y=13.34|data-sl=15.17,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,"28,738.03|data-order=28,738.03",INF209K01BR9,INF209K01YY7,1400
Open Ended,Equity,Large Cap,Axis Bluechip Fund,BSE 100 Total Return Index,Very High,Very High,58.2300|data-nav-reg=58.2300|data-prev-nav-reg=59.1200,66.6600|data-nav-dir=66.6600|data-prev-nav-dir=67.6800,13.08|data-1y=13.45|data-3y=7.07|data-5y=13.08|data-10y=11.81|data-sl=12.45,14.29|data-1y=14.45|data-3y=8.11|data-5y=14.29|data-10y=13.06|data-sl=15.11,17.20|data-1y=12.55|data-3y=13.01|data-5y=17.20|data-10y=13.23|data-sl=12.21,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.08,"33,062.21|data-order=33,062.21",INF846K01164,INF846K01DP8,10780
Open Ended,Equity,Large Cap,Bandhan Large Cap Fund,BSE 100 Total Return Index,Very High,Very High,73.9650|data-nav-reg=73.9650|data-prev-nav-reg=75.3300,84.4370|data-nav-dir=84.4370|data-prev-nav-dir=85.9870,17.14|data-1y=17.31|data-3y=12.75|data-5y=17.14|data-10y=12.09|data-sl=11.36,18.55|data-1y=18.68|data-3y=14.14|data-5y=18.55|data-10y=13.47|data-sl=14.09,17.20|data-1y=12.55|data-3y=13.01|data-5y=17.20|data-10y=13.23|data-sl=13.71,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.08,"1,771.21|data-order=1,771.21",INF194K01516,INF194K01Z44,3400
Open Ended,Equity,Large Cap,Bank of India Bluechip Fund,NIFTY 100 Total Return Index,Very High,Very High,15.6000|data-nav-reg=15.6000|data-prev-nav-reg=15.9800,16.2900|data-nav-dir=16.2900|data-prev-nav-dir=16.6800,--|data-1y=11.13|data-3y=11.60|data-5y=NA|data-10y=NA|data-sl=13.44,--|data-1y=12.51|data-3y=12.92|data-5y=NA|data-10y=NA|data-sl=14.84,--|data-1y=12.18|data-3y=11.92|data-5y=NA|data-10y=NA|data-sl=13.96,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.96,192.44|data-order=192.44,INF761K01FO7,INF761K01FL3,41519
Open Ended,Equity,Large Cap,Baroda BNP Paribas Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,215.8596|data-nav-reg=215.8596|data-prev-nav-reg=220.0033,247.4321|data-nav-dir=247.4321|data-prev-nav-dir=252.1573,17.56|data-1y=19.06|data-3y=14.97|data-5y=17.56|data-10y=13.04|data-sl=16.21,18.95|data-1y=20.46|data-3y=16.34|data-5y=18.95|data-10y=14.39|data-sl=16.38,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=15.50,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,"2,415.03|data-order=2,415.03",INF251K01910,INF251K01HN7,2338
Open Ended,Equity,Large Cap,Canara Robeco Bluechip Equity Fund,BSE 100 Total Return Index,Very High,Very High,60.2400|data-nav-reg=60.2400|data-prev-nav-reg=61.2200,69.1700|data-nav-dir=69.1700|data-prev-nav-dir=70.2800,17.53|data-1y=17.03|data-3y=12.41|data-5y=17.53|data-10y=13.64|data-sl=13.29,19.16|data-1y=18.41|data-3y=13.88|data-5y=19.16|data-10y=15.07|data-sl=15.60,17.20|data-1y=12.55|data-3y=13.01|data-5y=17.20|data-10y=13.23|data-sl=12.32,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.02,"14,781.64|data-order=14,781.64",,,11333
Open Ended,Equity,Large Cap,DSP Top 100 Equity Fund,BSE 100 Total Return Index,Very High,Very High,450.4400|data-nav-reg=450.4400|data-prev-nav-reg=457.3070,489.9460|data-nav-dir=489.9460|data-prev-nav-dir=497.3810,15.17|data-1y=20.02|data-3y=15.24|data-5y=15.17|data-10y=11.38|data-sl=19.04,16.08|data-1y=21.01|data-3y=16.16|data-5y=16.08|data-10y=12.20|data-sl=12.92,17.20|data-1y=12.55|data-3y=13.01|data-5y=17.20|data-10y=13.23|data-sl=17.71,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.08,"4,521.20|data-order=4,521.20",INF740K01243,INF740K01PR3,1540
Open Ended,Equity,Large Cap,Edelweiss Large Cap Fund✝,NIFTY 100 Total Return Index,Very High,Very High,80.4000|data-nav-reg=80.4000|data-prev-nav-reg=81.7800,NA|data-nav-dir=NA|data-prev-nav-dir=NA,16.88|data-1y=14.03|data-3y=13.47|data-5y=16.88|data-10y=12.88|data-sl=14.25,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=13.49,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,"1,106.38|data-order=1,106.38",,,10436
Open Ended,Equity,Large Cap,Edelweiss Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,80.9700|data-nav-reg=80.9700|data-prev-nav-reg=82.3600,92.2100|data-nav-dir=92.2100|data-prev-nav-dir=93.7800,16.85|data-1y=14.02|data-3y=13.43|data-5y=16.85|data-10y=12.87|data-sl=14.30,18.68|data-1y=15.79|data-3y=15.20|data-5y=18.68|data-10y=14.26|data-sl=15.50,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=13.49,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,"1,106.38|data-order=1,106.38",INF754K01053,INF754K01BT0,10432
Open Ended,Equity,Large Cap,Edelweiss Large Cap Fund✝,NIFTY 100 Total Return Index,Very High,Very High,81.4600|data-nav-reg=81.4600|data-prev-nav-reg=82.8600,NA|data-nav-dir=NA|data-prev-nav-dir=NA,16.88|data-1y=14.02|data-3y=13.47|data-5y=16.88|data-10y=12.88|data-sl=14.35,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=13.49,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,"1,106.38|data-order=1,106.38",,,10434
Open Ended,Equity,Large Cap,Franklin India Bluechip Fund,NIFTY 100 Total Return Index,Very High,Very High,984.8722|data-nav-reg=984.8722|data-prev-nav-reg=999.4523,"1,086.0678|data-nav-dir=1,086.0678|data-prev-nav-dir=1,102.0803",16.13|data-1y=16.24|data-3y=11.03|data-5y=16.13|data-10y=11.39|data-sl=19.18,17.04|data-1y=17.16|data-3y=11.95|data-5y=17.04|data-10y=12.31|data-sl=13.45,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,"7,701.89|data-order=7,701.89",INF090I01155,INF090I01FO5,114
Open Ended,Equity,Large Cap,Groww Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,40.9200|data-nav-reg=40.9200|data-prev-nav-reg=41.6800,48.7200|data-nav-dir=48.7200|data-prev-nav-dir=49.6300,13.00|data-1y=11.34|data-3y=11.65|data-5y=13.00|data-10y=11.25|data-sl=11.53,14.58|data-1y=12.96|data-3y=13.15|data-5y=14.58|data-10y=12.97|data-sl=13.35,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=14.01,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,123.98|data-order=123.98,,,14013
Open Ended,Equity,Large Cap,HDFC Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,"1,091.3410|data-nav-reg=1,091.3410|data-prev-nav-reg=1,108.9380","1,176.4920|data-nav-dir=1,176.4920|data-prev-nav-dir=1,195.4010",17.24|data-1y=10.59|data-3y=16.12|data-5y=17.24|data-10y=12.45|data-sl=18.86,17.93|data-1y=11.25|data-3y=16.81|data-5y=17.93|data-10y=13.17|data-sl=14.59,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,"35,923.76|data-order=35,923.76",INF179K01BE2,INF179K01YV8,104
Open Ended,Equity,Large Cap,HSBC Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,469.5545|data-nav-reg=469.5545|data-prev-nav-reg=477.9205,518.9404|data-nav-dir=518.9404|data-prev-nav-dir=528.1459,16.10|data-1y=16.82|data-3y=13.07|data-5y=16.10|data-10y=12.11|data-sl=18.89,17.18|data-1y=17.89|data-3y=14.11|data-5y=17.18|data-10y=13.31|data-sl=13.95,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,"1,898.11|data-order=1,898.11",INF336L01016,INF336L01CM7,1481
Open Ended,Equity,Large Cap,ICICI Prudential Bluechip Fund,NIFTY 100 Total Return Index,Very High,Very High,103.5700|data-nav-reg=103.5700|data-prev-nav-reg=105.2500,113.4000|data-nav-dir=113.4000|data-prev-nav-dir=115.2400,18.71|data-1y=16.46|data-3y=15.88|data-5y=18.71|data-10y=13.95|data-sl=15.09,19.43|data-1y=17.12|data-3y=16.57|data-5y=19.43|data-10y=14.81|data-sl=16.20,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=11.71,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,"63,274.34|data-order=63,274.34",INF109K01BL4,INF109K016L0,7517
Open Ended,Equity,Large Cap,Invesco India Largecap Fund,NIFTY 100 Total Return Index,Very High,Very High,67.2900|data-nav-reg=67.2900|data-prev-nav-reg=68.3700,80.1600|data-nav-dir=80.1600|data-prev-nav-dir=81.4400,17.93|data-1y=19.47|data-3y=13.51|data-5y=17.93|data-10y=13.27|data-sl=13.19,19.56|data-1y=21.11|data-3y=15.14|data-5y=19.56|data-10y=15.03|data-sl=16.25,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=13.15,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,"1,333.36|data-order=1,333.36",INF205K01304,INF205K01LB0,10565
Open Ended,Equity,Large Cap,ITI Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,17.2611|data-nav-reg=17.2611|data-prev-nav-reg=17.6418,18.7828|data-nav-dir=18.7828|data-prev-nav-dir=19.1944,--|data-1y=12.96|data-3y=11.37|data-5y=NA|data-10y=NA|data-sl=14.47,--|data-1y=15.18|data-3y=13.64|data-5y=NA|data-10y=NA|data-sl=16.89,--|data-1y=12.18|data-3y=11.92|data-5y=NA|data-10y=NA|data-sl=16.30,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=16.30,373.16|data-order=373.16,INF00XX01770,INF00XX01804,41208
Open Ended,Equity,Large Cap,JM Large Cap Fund,BSE 100 Total Return Index,Very High,Very High,151.5528|data-nav-reg=151.5528|data-prev-nav-reg=154.3281,171.9122|data-nav-dir=171.9122|data-prev-nav-dir=175.0358,17.42|data-1y=13.50|data-3y=14.53|data-5y=17.42|data-10y=11.19|data-sl=9.55,18.62|data-1y=15.17|data-3y=15.66|data-5y=18.62|data-10y=12.47|data-sl=13.77,17.20|data-1y=12.55|data-3y=13.01|data-5y=17.20|data-10y=13.23|data-sl=12.56,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.08,484.34|data-order=484.34,INF192K01JS8,INF192K01JU4,108
Open Ended,Equity,Large Cap,Kotak Bluechip Fund,NIFTY 100 Total Return Index,Very High,Very High,544.6530|data-nav-reg=544.6530|data-prev-nav-reg=554.1600,622.7630|data-nav-dir=622.7630|data-prev-nav-dir=633.5750,16.90|data-1y=15.53|data-3y=12.49|data-5y=16.90|data-10y=12.95|data-sl=17.95,18.32|data-1y=16.87|data-3y=13.87|data-5y=18.32|data-10y=14.33|data-sl=15.37,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,"9,376.43|data-order=9,376.43",INF174K01153,INF174K01KW6,577
Open Ended,Equity,Large Cap,LIC MF Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,54.0673|data-nav-reg=54.0673|data-prev-nav-reg=55.0371,61.0913|data-nav-dir=61.0913|data-prev-nav-dir=62.1813,15.20|data-1y=14.17|data-3y=9.93|data-5y=15.20|data-10y=11.31|data-sl=6.31,15.49|data-1y=15.52|data-3y=10.53|data-5y=15.49|data-10y=12.15|data-sl=13.40,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,"1,474.51|data-order=1,474.51",INF767K01105,INF767K01EJ7,158
Open Ended,Equity,Large Cap,Mahindra Manulife Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,21.8493|data-nav-reg=21.8493|data-prev-nav-reg=22.1793,24.2985|data-nav-dir=24.2985|data-prev-nav-dir=24.6621,15.49|data-1y=12.78|data-3y=11.04|data-5y=15.49|data-10y=NA|data-sl=14.37,17.57|data-1y=14.68|data-3y=13.03|data-5y=17.57|data-10y=NA|data-sl=16.48,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=NA|data-sl=14.92,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.92,590.03|data-order=590.03,INF174V01697,INF174V01747,39222
Open Ended,Equity,Large Cap,Mirae Asset Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,106.4600|data-nav-reg=106.4600|data-prev-nav-reg=108.3180,119.3940|data-nav-dir=119.3940|data-prev-nav-dir=121.4670,14.74|data-1y=12.02|data-3y=9.78|data-5y=14.74|data-10y=13.31|data-sl=15.15,15.94|data-1y=13.12|data-3y=10.89|data-5y=15.94|data-10y=14.39|data-sl=16.62,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=12.06,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,"38,587.43|data-order=38,587.43",INF769K01010,INF769K01AX2,6762
Open Ended,Equity,Large Cap,Nippon India Large Cap Fund,BSE 100 Total Return Index,Very High,Very High,85.8431|data-nav-reg=85.8431|data-prev-nav-reg=87.5069,95.3266|data-nav-dir=95.3266|data-prev-nav-dir=97.1671,19.52|data-1y=16.46|data-3y=19.19|data-5y=19.52|data-10y=14.07|data-sl=13.13,20.55|data-1y=17.50|data-3y=20.22|data-5y=20.55|data-10y=15.12|data-sl=16.83,17.20|data-1y=12.55|data-3y=13.01|data-5y=17.20|data-10y=13.23|data-sl=11.71,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.08,"35,716.51|data-order=35,716.51",INF204K01562,INF204K01XG7,5270
Open Ended,Equity,Large Cap,PGIM India Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,324.3800|data-nav-reg=324.3800|data-prev-nav-reg=329.9000,381.7500|data-nav-dir=381.7500|data-prev-nav-dir=388.2100,12.97|data-1y=9.33|data-3y=9.31|data-5y=12.97|data-10y=10.57|data-sl=17.16,14.67|data-1y=10.99|data-3y=10.97|data-5y=14.67|data-10y=12.21|data-sl=14.07,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=17.52,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,583.48|data-order=583.48,INF223J01895,INF223J01MM0,1513
Open Ended,Equity,Large Cap,Quant Large Cap Fund,NIFTY 100 Total Return Index,,Very High,14.6248|data-nav-reg=14.6248|data-prev-nav-reg=14.9997,15.2091|data-nav-dir=15.2091|data-prev-nav-dir=15.5970,--|data-1y=11.44|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=17.10,--|data-1y=13.12|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=19.02,--|data-1y=12.18|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=14.77,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.77,"2,597.45|data-order=2,597.45",INF966L01AW4,INF966L01AT0,42365
Open Ended,Equity,Large Cap,SBI Bluechip Fund,BSE 100 Total Return Index,Very High,Very High,87.7812|data-nav-reg=87.7812|data-prev-nav-reg=89.2157,96.8888|data-nav-dir=96.8888|data-prev-nav-dir=98.4665,16.49|data-1y=12.32|data-3y=12.32|data-5y=16.49|data-10y=13.00|data-sl=12.18,17.34|data-1y=13.09|data-3y=13.12|data-5y=17.34|data-10y=13.99|data-sl=15.68,17.20|data-1y=12.55|data-3y=13.01|data-5y=17.20|data-10y=13.23|data-sl=13.09,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.08,"49,721.21|data-order=49,721.21",,,3083
Open Ended,Equity,Large Cap,Sundaram Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,20.6246|data-nav-reg=20.6246|data-prev-nav-reg=20.9209,21.9944|data-nav-dir=21.9944|data-prev-nav-dir=22.3080,14.62|data-1y=10.36|data-3y=11.02|data-5y=14.62|data-10y=11.92|data-sl=18.61,16.13|data-1y=11.79|data-3y=12.50|data-5y=16.13|data-10y=13.09|data-sl=20.42,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,"3,390.30|data-order=3,390.30",INF903JA1JA4,INF903JA1JE6,41102
Open Ended,Equity,Large Cap,Tata Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,478.4367|data-nav-reg=478.4367|data-prev-nav-reg=487.7991,546.0997|data-nav-dir=546.0997|data-prev-nav-dir=556.7400,16.09|data-1y=11.57|data-3y=12.25|data-5y=16.09|data-10y=11.90|data-sl=19.05,17.17|data-1y=12.68|data-3y=13.40|data-5y=17.17|data-10y=13.25|data-sl=14.32,16.33|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=12.96|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.92,"2,407.43|data-order=2,407.43",INF277K01931,INF277K01QZ7,509
Open Ended,Equity,Large Cap,Taurus Large Cap Fund,BSE 100 Total Return Index,Very High,Very High,153.2200|data-nav-reg=153.2200|data-prev-nav-reg=156.4200,161.9400|data-nav-dir=161.9400|data-prev-nav-dir=165.3100,14.96|data-1y=16.38|data-3y=14.35|data-5y=14.96|data-10y=10.04|data-sl=10.94,15.08|data-1y=16.51|data-3y=14.46|data-5y=15.08|data-10y=10.62|data-sl=11.30,17.20|data-1y=12.55|data-3y=13.01|data-5y=17.20|data-10y=13.23|data-sl=12.40,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.08,48.68|data-order=48.68,INF044D01773,INF044D01BX3,43
Open Ended,Equity,Large Cap,Union Largecap Fund,BSE 100 Total Return Index,Very High,Very High,22.8400|data-nav-reg=22.8400|data-prev-nav-reg=23.2500,24.1300|data-nav-dir=24.1300|data-prev-nav-dir=24.5700,15.32|data-1y=11.19|data-3y=10.16|data-5y=15.32|data-10y=NA|data-sl=11.38,16.12|data-1y=12.11|data-3y=11.02|data-5y=16.12|data-10y=NA|data-sl=12.18,17.20|data-1y=12.55|data-3y=13.01|data-5y=17.20|data-10y=NA|data-sl=14.48,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.48,434.70|data-order=434.70,INF582M01CQ5,INF582M01CU7,34080
Open Ended,Equity,Large Cap,UTI Large Cap Fund,BSE 100 Total Return Index,Very High,Very High,262.1557|data-nav-reg=262.1557|data-prev-nav-reg=266.0732,286.1493|data-nav-dir=286.1493|data-prev-nav-dir=290.4060,15.50|data-1y=11.87|data-3y=9.10|data-5y=15.50|data-10y=11.78|data-sl=17.16,16.55|data-1y=12.84|data-3y=10.07|data-5y=16.55|data-10y=12.68|data-sl=14.15,17.20|data-1y=12.55|data-3y=13.01|data-5y=17.20|data-10y=13.23|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.08,"12,646.54|data-order=12,646.54",INF789F01976,INF789F01US8,22
Open Ended,Equity,Large Cap,WhiteOak Capital Large Cap Fund,BSE 100 Total Return Index,,Very High,14.1900|data-nav-reg=14.1900|data-prev-nav-reg=14.4550,14.7040|data-nav-dir=14.7040|data-prev-nav-dir=14.9770,--|data-1y=19.59|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=18.12,--|data-1y=21.62|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=20.14,--|data-1y=12.55|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=14.93,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.93,683.74|data-order=683.74,INF03VN01662,INF03VN01696,42711
Open Ended,Equity,Large & Mid Cap,Aditya Birla Sun Life Equity Advantage Fund,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,879.7200|data-nav-reg=879.7200|data-prev-nav-reg=899.2300,974.4000|data-nav-dir=974.4000|data-prev-nav-dir=995.9400,16.04|data-1y=14.17|data-3y=7.63|data-5y=16.04|data-10y=12.38|data-sl=16.90,17.03|data-1y=15.10|data-3y=8.53|data-5y=17.03|data-10y=13.42|data-sl=15.92,22.27|data-1y=16.04|data-3y=17.05|data-5y=22.27|data-10y=15.93|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=16.94,"5,798.39|data-order=5,798.39",INF209K01165,INF209K01VH8,27
Open Ended,Equity,Large & Mid Cap,Axis Growth Opportunities Fund,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,31.9100|data-nav-reg=31.9100|data-prev-nav-reg=32.4300,34.9500|data-nav-dir=34.9500|data-prev-nav-dir=35.5200,22.09|data-1y=23.83|data-3y=13.84|data-5y=22.09|data-10y=NA|data-sl=20.53,23.77|data-1y=25.20|data-3y=15.24|data-5y=23.77|data-10y=NA|data-sl=22.31,22.27|data-1y=16.04|data-3y=17.05|data-5y=22.27|data-10y=NA|data-sl=19.97,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=19.97,"14,076.17|data-order=14,076.17",INF846K01J79,INF846K01J46,37837
Open Ended,Equity,Large & Mid Cap,Bandhan Core Equity Fund,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,129.0090|data-nav-reg=129.0090|data-prev-nav-reg=131.7760,149.4470|data-nav-dir=149.4470|data-prev-nav-dir=152.6380,23.38|data-1y=24.97|data-3y=22.26|data-5y=23.38|data-10y=15.96|data-sl=14.07,24.85|data-1y=26.43|data-3y=23.70|data-5y=24.85|data-10y=17.53|data-sl=16.87,22.27|data-1y=16.04|data-3y=17.05|data-5y=22.27|data-10y=15.93|data-sl=15.74,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=16.94,"7,622.15|data-order=7,622.15",INF194K01524,INF194K01V89,2797
Open Ended,Equity,Large & Mid Cap,Bank of India Large & Mid Cap Equity Fund✝,BSE 250 Large MidCap Total Return Index,Very High,Very High,93.5100|data-nav-reg=93.5100|data-prev-nav-reg=95.8700,NA|data-nav-dir=NA|data-prev-nav-dir=NA,20.20|data-1y=15.31|data-3y=15.26|data-5y=20.20|data-10y=12.93|data-sl=14.78,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,18.43|data-1y=13.43|data-3y=13.76|data-5y=18.43|data-10y=14.01|data-sl=15.82,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,364.58|data-order=364.58,,,8989
Open Ended,Equity,Large & Mid Cap,Bank of India Large & Mid Cap Equity Fund,BSE 250 Large MidCap Total Return Index,Very High,Very High,85.3700|data-nav-reg=85.3700|data-prev-nav-reg=87.5400,97.4000|data-nav-dir=97.4000|data-prev-nav-dir=99.8600,19.51|data-1y=14.49|data-3y=14.60|data-5y=19.51|data-10y=12.18|data-sl=14.13,20.76|data-1y=15.78|data-3y=15.79|data-5y=20.76|data-10y=13.47|data-sl=14.80,18.43|data-1y=13.43|data-3y=13.76|data-5y=18.43|data-10y=14.01|data-sl=15.82,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.88,364.58|data-order=364.58,INF761K01116,INF761K01678,8985
Open Ended,Equity,Large & Mid Cap,Baroda BNP Paribas Large & Mid Cap Fund,BSE 250 Large MidCap Total Return Index,Very High,Very High,27.2643|data-nav-reg=27.2643|data-prev-nav-reg=27.8227,29.0961|data-nav-dir=29.0961|data-prev-nav-dir=29.6888,--|data-1y=23.91|data-3y=16.97|data-5y=NA|data-10y=NA|data-sl=25.98,--|data-1y=25.52|data-3y=18.56|data-5y=NA|data-10y=NA|data-sl=27.88,--|data-1y=13.43|data-3y=13.76|data-5y=NA|data-10y=NA|data-sl=22.35,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=22.35,"1,523.88|data-order=1,523.88",,,41086
Open Ended,Equity,Large & Mid Cap,Canara Robeco Emerging Equities Fund,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,252.0500|data-nav-reg=252.0500|data-prev-nav-reg=257.5200,287.0300|data-nav-dir=287.0300|data-prev-nav-dir=293.2300,21.36|data-1y=24.15|data-3y=14.62|data-5y=21.36|data-10y=16.41|data-sl=17.66,22.74|data-1y=25.43|data-3y=15.89|data-5y=22.74|data-10y=17.73|data-sl=21.42,22.27|data-1y=16.04|data-3y=17.05|data-5y=22.27|data-10y=15.93|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=16.89,"24,659.21|data-order=24,659.21",,,2645
Open Ended,Equity,Large & Mid Cap,DSP Equity Opportunities Fund,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,597.0520|data-nav-reg=597.0520|data-prev-nav-reg=609.1960,663.3390|data-nav-dir=663.3390|data-prev-nav-dir=676.7740,20.90|data-1y=21.50|data-3y=18.55|data-5y=20.90|data-10y=15.74|data-sl=18.04,22.07|data-1y=22.73|data-3y=19.71|data-5y=22.07|data-10y=16.85|data-sl=17.82,22.27|data-1y=16.04|data-3y=17.05|data-5y=22.27|data-10y=15.93|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=16.94,"13,888.49|data-order=13,888.49",INF740K01094,INF740K01PL6,776
Open Ended,Equity,Large & Mid Cap,Edelweiss Large & Mid Cap Fund,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,85.9950|data-nav-reg=85.9950|data-prev-nav-reg=87.7550,100.4110|data-nav-dir=100.4110|data-prev-nav-dir=102.4540,21.41|data-1y=22.44|data-3y=17.18|data-5y=21.41|data-10y=14.97|data-sl=13.02,23.31|data-1y=24.22|data-3y=19.02|data-5y=23.31|data-10y=16.48|data-sl=17.54,22.27|data-1y=16.04|data-3y=17.05|data-5y=22.27|data-10y=15.93|data-sl=14.02,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=16.94,"3,772.97|data-order=3,772.97",INF843K01047,INF843K01AL0,4871
