end_type,primary_category,category,scheme,Benchmark,Riskometer-Scheme,Riskometer-Benchmark,Nav-Regular,Nav-Direct,Return-Regular,Return-Direct,Return-BenchMark,period-return-bench-direct,Daily AUM,regular_isin,direct_isin,data_plan_id
Close Ended,Equity,Flexi Cap,WhiteOak Capital Flexi Cap Fund,BSE 500 Total Return Index,,Very High,16.8710|data-nav-reg=16.8710|data-prev-nav-reg=17.2230,17.5130|data-nav-dir=17.5130|data-prev-nav-dir=17.8770,--|data-1y=22.20|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=23.98,--|data-1y=23.97|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=25.90,--|data-1y=14.01|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=18.73,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=18.73,"4,345.52|data-order=4,345.52",INF03VN01522,INF03VN01555,42318
Close Ended,Equity,Multi Cap,Aditya Birla Sun Life Multi-Cap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,19.3400|data-nav-reg=19.3400|data-prev-nav-reg=19.7400,20.4100|data-nav-dir=20.4100|data-prev-nav-dir=20.8300,--|data-1y=20.60|data-3y=15.46|data-5y=NA|data-10y=NA|data-sl=19.68,--|data-1y=21.94|data-3y=17.05|data-5y=NA|data-10y=NA|data-sl=21.45,--|data-1y=16.57|data-3y=16.86|data-5y=NA|data-10y=NA|data-sl=20.98,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=20.98,"6,252.08|data-order=6,252.08",INF209KB1Y23,INF209KB1Y49,41464
Close Ended,Equity,Multi Cap,Axis Multicap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,17.7600|data-nav-reg=17.7600|data-prev-nav-reg=18.1300,18.5200|data-nav-dir=18.5200|data-prev-nav-dir=18.9000,--|data-1y=30.30|data-3y=20.68|data-5y=NA|data-10y=NA|data-sl=20.65,--|data-1y=31.80|data-3y=22.33|data-5y=NA|data-10y=NA|data-sl=22.31,--|data-1y=16.57|data-3y=16.86|data-5y=NA|data-10y=NA|data-sl=17.41,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=17.41,"7,045.31|data-order=7,045.31",INF846K016E3,INF846K013E0,41883
Close Ended,Equity,Multi Cap,Bandhan Multi Cap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,16.5320|data-nav-reg=16.5320|data-prev-nav-reg=16.9170,17.3670|data-nav-dir=17.3670|data-prev-nav-dir=17.7700,--|data-1y=16.23|data-3y=17.60|data-5y=NA|data-10y=NA|data-sl=17.61,--|data-1y=17.95|data-3y=19.47|data-5y=NA|data-10y=NA|data-sl=19.50,--|data-1y=16.57|data-3y=16.86|data-5y=NA|data-10y=NA|data-sl=17.40,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=17.40,"2,437.44|data-order=2,437.44",INF194KB1CI6,INF194KB1CL0,41820
Close Ended,Equity,Multi Cap,Bank of India Multi Cap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,,Very High,17.2300|data-nav-reg=17.2300|data-prev-nav-reg=17.7200,17.5600|data-nav-dir=17.5600|data-prev-nav-dir=18.0600,--|data-1y=18.88|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=34.21,--|data-1y=20.23|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=35.59,--|data-1y=16.57|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=30.91,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=30.91,762.73|data-order=762.73,INF761K01FU4,INF761K01FR0,43160
Close Ended,Equity,Multi Cap,Baroda BNP Paribas Multi Cap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,292.4609|data-nav-reg=292.4609|data-prev-nav-reg=299.0041,326.4419|data-nav-dir=326.4419|data-prev-nav-dir=333.7168,22.96|data-1y=27.49|data-3y=18.15|data-5y=22.96|data-10y=14.98|data-sl=17.22,24.25|data-1y=28.84|data-3y=19.38|data-5y=24.25|data-10y=16.27|data-sl=16.72,22.79|data-1y=16.57|data-3y=16.86|data-5y=22.79|data-10y=15.42|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=16.54,"2,814.39|data-order=2,814.39",INF955L01674,INF955L01AG0,1820
Close Ended,Equity,Multi Cap,Canara Robeco Multi Cap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,,Very High,14.0300|data-nav-reg=14.0300|data-prev-nav-reg=14.3000,14.3400|data-nav-dir=14.3400|data-prev-nav-dir=14.6100,--|data-1y=18.79|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=26.37,--|data-1y=20.58|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=28.30,--|data-1y=16.57|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=26.01,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=26.01,"3,917.77|data-order=3,917.77",INF760K01KR2,INF760K01KO9,43569
Close Ended,Equity,Multi Cap,Edelweiss Multi Cap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,,Very High,15.0164|data-nav-reg=15.0164|data-prev-nav-reg=15.3546,15.3151|data-nav-dir=15.3151|data-prev-nav-dir=15.6580,--|data-1y=25.49|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=40.22,--|data-1y=27.52|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=42.53,--|data-1y=16.57|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=30.79,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=30.79,"2,621.71|data-order=2,621.71",INF754K01RW0,INF754K01SD8,43780
Close Ended,Equity,Multi Cap,HDFC Multi Cap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,18.6190|data-nav-reg=18.6190|data-prev-nav-reg=19.0680,19.3730|data-nav-dir=19.3730|data-prev-nav-dir=19.8380,--|data-1y=18.76|data-3y=21.91|data-5y=NA|data-10y=NA|data-sl=22.32,--|data-1y=20.07|data-3y=23.49|data-5y=NA|data-10y=NA|data-sl=23.91,--|data-1y=16.57|data-3y=16.86|data-5y=NA|data-10y=NA|data-sl=17.68,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=17.68,"16,816.87|data-order=16,816.87",INF179KC1BV9,INF179KC1BS5,41862
Close Ended,Equity,Multi Cap,HSBC Multi Cap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,18.5976|data-nav-reg=18.5976|data-prev-nav-reg=19.0663,19.0855|data-nav-dir=19.0855|data-prev-nav-dir=19.5644,--|data-1y=25.82|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=37.76,--|data-1y=27.49|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=39.61,--|data-1y=16.57|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=29.42,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=29.42,"4,465.83|data-order=4,465.83",INF336L01QQ8,INF336L01QN5,43021
