end_type,primary_category,category,scheme,Benchmark,Riskometer-Scheme,Riskometer-Benchmark,Nav-Regular,Nav-Direct,Return-Regular,Return-Direct,Return-BenchMark,period-return-bench-direct,Daily AUM
Open Ended,Equity,Large Cap,,,,,,,,,,,
Open Ended,Equity,Large Cap,Aditya Birla Sun Life Frontline Equity Fund|data-plan_id=1400,NIFTY 100 Total Return Index,Very High,Very High,508.3000|data-nav-reg=508.3000|data-prev-nav-reg=511.0800,559.7200|data-nav-dir=559.7200|data-prev-nav-dir=562.7700,16.75|data-1y=18.08|data-3y=13.83|data-5y=16.75|data-10y=12.30|data-sl=19.21,17.53|data-1y=18.87|data-3y=14.60|data-5y=17.53|data-10y=13.20|data-sl=15.34,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,"29,382.93^|data-order=29,382.93"
Open Ended,Equity,Large Cap,Axis Bluechip Fund|data-plan_id=10780,BSE 100 Total Return Index,Very High,Very High,59.1200|data-nav-reg=59.1200|data-prev-nav-reg=59.5200,67.6800|data-nav-dir=67.6800|data-prev-nav-dir=68.1400,13.03|data-1y=16.42|data-3y=7.93|data-5y=13.03|data-10y=11.69|data-sl=12.57,14.25|data-1y=17.46|data-3y=8.99|data-5y=14.25|data-10y=12.95|data-sl=15.27,17.18|data-1y=15.98|data-3y=14.01|data-5y=17.18|data-10y=13.09|data-sl=12.36,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.28,"33,797.78^|data-order=33,797.78"
Open Ended,Equity,Large Cap,Bandhan Large Cap Fund|data-plan_id=3400,BSE 100 Total Return Index,Very High,Very High,75.3300|data-nav-reg=75.3300|data-prev-nav-reg=75.7320,85.9870|data-nav-dir=85.9870|data-prev-nav-dir=86.4440,17.16|data-1y=21.00|data-3y=13.66|data-5y=17.16|data-10y=11.93|data-sl=11.48,18.56|data-1y=22.42|data-3y=15.04|data-5y=18.56|data-10y=13.31|data-sl=14.27,17.18|data-1y=15.98|data-3y=14.01|data-5y=17.18|data-10y=13.09|data-sl=13.84,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.28,"1,812.58^|data-order=1,812.58"
Open Ended,Equity,Large Cap,Bank of India Bluechip Fund|data-plan_id=41519,NIFTY 100 Total Return Index,Very High,Very High,15.9800|data-nav-reg=15.9800|data-prev-nav-reg=16.0000,16.6800|data-nav-dir=16.6800|data-prev-nav-dir=16.7100,--|data-1y=15.46|data-3y=12.60|data-5y=NA|data-10y=NA|data-sl=14.25,--|data-1y=16.89|data-3y=13.88|data-5y=NA|data-10y=NA|data-sl=15.65,--|data-1y=15.50|data-3y=12.88|data-5y=NA|data-10y=NA|data-sl=14.62,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.62,197.18^|data-order=197.18
Open Ended,Equity,Large Cap,Baroda BNP Paribas Large Cap Fund|data-plan_id=2338,NIFTY 100 Total Return Index,Very High,Very High,220.0033|data-nav-reg=220.0033|data-prev-nav-reg=221.3340,252.1573|data-nav-dir=252.1573|data-prev-nav-dir=253.6742,17.56|data-1y=22.58|data-3y=15.95|data-5y=17.56|data-10y=13.01|data-sl=16.33,18.95|data-1y=24.03|data-3y=17.33|data-5y=18.95|data-10y=14.36|data-sl=16.57,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=15.62,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,"2,435.98^^|data-order=2,435.98"
Open Ended,Equity,Large Cap,Canara Robeco Bluechip Equity Fund|data-plan_id=11333,BSE 100 Total Return Index,Very High,Very High,61.2200|data-nav-reg=61.2200|data-prev-nav-reg=61.6500,70.2800|data-nav-dir=70.2800|data-prev-nav-dir=70.7800,17.52|data-1y=20.20|data-3y=13.17|data-5y=17.52|data-10y=13.47|data-sl=13.42,19.15|data-1y=21.61|data-3y=14.65|data-5y=19.15|data-10y=14.90|data-sl=15.77,17.18|data-1y=15.98|data-3y=14.01|data-5y=17.18|data-10y=13.09|data-sl=12.48,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.21,"15,113.60^|data-order=15,113.60"
Open Ended,Equity,Large Cap,DSP Top 100 Equity Fund|data-plan_id=1540,BSE 100 Total Return Index,Very High,Very High,457.3070|data-nav-reg=457.3070|data-prev-nav-reg=459.3710,497.3810|data-nav-dir=497.3810|data-prev-nav-dir=499.6150,15.02|data-1y=23.23|data-3y=15.80|data-5y=15.02|data-10y=11.20|data-sl=19.13,15.93|data-1y=24.25|data-3y=16.73|data-5y=15.93|data-10y=12.02|data-sl=13.07,17.18|data-1y=15.98|data-3y=14.01|data-5y=17.18|data-10y=13.09|data-sl=17.82,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.28,"4,608.56^|data-order=4,608.56"
Open Ended,Equity,Large Cap,Edelweiss Large Cap Fund✝|data-plan_id=10436,NIFTY 100 Total Return Index,Very High,Very High,81.7800|data-nav-reg=81.7800|data-prev-nav-reg=82.3700,NA|data-nav-dir=NA|data-prev-nav-dir=NA,16.84|data-1y=17.15|data-3y=14.26|data-5y=16.84|data-10y=12.74|data-sl=14.39,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=13.64,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,"1,125.61|data-order=1,125.61"
Open Ended,Equity,Large Cap,Edelweiss Large Cap Fund|data-plan_id=10432,NIFTY 100 Total Return Index,Very High,Very High,82.3600|data-nav-reg=82.3600|data-prev-nav-reg=82.9600,93.7800|data-nav-dir=93.7800|data-prev-nav-dir=94.4500,16.82|data-1y=17.16|data-3y=14.23|data-5y=16.82|data-10y=12.72|data-sl=14.44,18.65|data-1y=18.96|data-3y=16.01|data-5y=18.65|data-10y=14.10|data-sl=15.67,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=13.64,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,"1,125.61|data-order=1,125.61"
Open Ended,Equity,Large Cap,Edelweiss Large Cap Fund✝|data-plan_id=10434,NIFTY 100 Total Return Index,Very High,Very High,82.8600|data-nav-reg=82.8600|data-prev-nav-reg=83.4600,NA|data-nav-dir=NA|data-prev-nav-dir=NA,16.84|data-1y=17.15|data-3y=14.26|data-5y=16.84|data-10y=12.73|data-sl=14.48,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=13.64,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,"1,125.61|data-order=1,125.61"
Open Ended,Equity,Large Cap,Franklin India Bluechip Fund|data-plan_id=114,NIFTY 100 Total Return Index,Very High,Very High,"999.4523|data-nav-reg=999.4523|data-prev-nav-reg=1,004.6239","1,102.0803|data-nav-dir=1,102.0803|data-prev-nav-dir=1,107.7608",16.05|data-1y=19.44|data-3y=11.62|data-5y=16.05|data-10y=11.28|data-sl=19.24,16.96|data-1y=20.39|data-3y=12.55|data-5y=16.96|data-10y=12.19|data-sl=13.59,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,"7,861.12^|data-order=7,861.12"
Open Ended,Equity,Large Cap,Groww Large Cap Fund|data-plan_id=14013,NIFTY 100 Total Return Index,Very High,Very High,41.6800|data-nav-reg=41.6800|data-prev-nav-reg=42.0200,49.6300|data-nav-dir=49.6300|data-prev-nav-dir=50.0300,12.97|data-1y=15.01|data-3y=12.65|data-5y=12.97|data-10y=11.16|data-sl=11.69,14.55|data-1y=16.72|data-3y=14.17|data-5y=14.55|data-10y=12.88|data-sl=13.54,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=14.19,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,127.20^|data-order=127.20
Open Ended,Equity,Large Cap,HDFC Large Cap Fund|data-plan_id=104,NIFTY 100 Total Return Index,Very High,Very High,"1,108.9380|data-nav-reg=1,108.9380|data-prev-nav-reg=1,115.1520","1,195.4010|data-nav-dir=1,195.4010|data-prev-nav-dir=1,202.0800",17.06|data-1y=13.70|data-3y=17.01|data-5y=17.06|data-10y=12.24|data-sl=18.93,17.75|data-1y=14.37|data-3y=17.70|data-5y=17.75|data-10y=12.96|data-sl=14.75,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,"36,711.18^|data-order=36,711.18"
Open Ended,Equity,Large Cap,HSBC Large Cap Fund|data-plan_id=1481,NIFTY 100 Total Return Index,Very High,Very High,477.9205|data-nav-reg=477.9205|data-prev-nav-reg=481.9791,528.1459|data-nav-dir=528.1459|data-prev-nav-dir=532.6175,16.06|data-1y=20.60|data-3y=13.85|data-5y=16.06|data-10y=11.95|data-sl=18.99,17.15|data-1y=21.71|data-3y=14.89|data-5y=17.15|data-10y=13.12|data-sl=14.13,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,"1,948.11^|data-order=1,948.11"
Open Ended,Equity,Large Cap,ICICI Prudential Bluechip Fund|data-plan_id=7517,NIFTY 100 Total Return Index,Very High,Very High,105.2500|data-nav-reg=105.2500|data-prev-nav-reg=105.8600,115.2400|data-nav-dir=115.2400|data-prev-nav-dir=115.9100,18.69|data-1y=19.51|data-3y=16.76|data-5y=18.69|data-10y=13.77|data-sl=15.21,19.41|data-1y=20.20|data-3y=17.46|data-5y=19.41|data-10y=14.63|data-sl=16.37,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=11.84,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,"64,624.98^|data-order=64,624.98"
Open Ended,Equity,Large Cap,Invesco India Largecap Fund|data-plan_id=10565,NIFTY 100 Total Return Index,Very High,Very High,68.3700|data-nav-reg=68.3700|data-prev-nav-reg=68.6300,81.4400|data-nav-dir=81.4400|data-prev-nav-dir=81.7500,17.83|data-1y=23.12|data-3y=14.24|data-5y=17.83|data-10y=13.11|data-sl=13.31,19.48|data-1y=24.81|data-3y=15.89|data-5y=19.48|data-10y=14.87|data-sl=16.42,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=13.30,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,"1,355.36^|data-order=1,355.36"
Open Ended,Equity,Large Cap,ITI Large Cap Fund|data-plan_id=41208,NIFTY 100 Total Return Index,Very High,Very High,17.6418|data-nav-reg=17.6418|data-prev-nav-reg=17.7050,19.1944|data-nav-dir=19.1944|data-prev-nav-dir=19.2622,--|data-1y=16.44|data-3y=12.28|data-5y=NA|data-10y=NA|data-sl=15.13,--|data-1y=18.74|data-3y=14.58|data-5y=NA|data-10y=NA|data-sl=17.56,--|data-1y=15.50|data-3y=12.88|data-5y=NA|data-10y=NA|data-sl=16.90,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=16.90,382.33^|data-order=382.33
Open Ended,Equity,Large Cap,JM Large Cap Fund|data-plan_id=108,BSE 100 Total Return Index,Very High,Very High,154.3281|data-nav-reg=154.3281|data-prev-nav-reg=155.6833,175.0358|data-nav-dir=175.0358|data-prev-nav-dir=176.5646,17.66|data-1y=16.85|data-3y=15.34|data-5y=17.66|data-10y=11.08|data-sl=9.62,18.86|data-1y=18.57|data-3y=16.47|data-5y=18.86|data-10y=12.36|data-sl=13.95,17.18|data-1y=15.98|data-3y=14.01|data-5y=17.18|data-10y=13.09|data-sl=12.64,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.28,480.10^|data-order=480.10
Open Ended,Equity,Large Cap,Kotak Bluechip Fund|data-plan_id=577,NIFTY 100 Total Return Index,Very High,Very High,554.1600|data-nav-reg=554.1600|data-prev-nav-reg=558.2360,633.5750|data-nav-dir=633.5750|data-prev-nav-dir=638.2150,16.86|data-1y=18.71|data-3y=13.35|data-5y=16.86|data-10y=12.79|data-sl=18.03,18.28|data-1y=20.10|data-3y=14.75|data-5y=18.28|data-10y=14.17|data-sl=15.54,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,"9,541.47|data-order=9,541.47"
Open Ended,Equity,Large Cap,LIC MF Large Cap Fund|data-plan_id=158,NIFTY 100 Total Return Index,Very High,Very High,55.0371|data-nav-reg=55.0371|data-prev-nav-reg=55.3056,62.1813|data-nav-dir=62.1813|data-prev-nav-dir=62.4829,15.20|data-1y=17.28|data-3y=10.87|data-5y=15.20|data-10y=11.18|data-sl=6.37,15.48|data-1y=18.67|data-3y=11.49|data-5y=15.48|data-10y=12.02|data-sl=13.57,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,"1,482.42^|data-order=1,482.42"
Open Ended,Equity,Large Cap,Mahindra Manulife Large Cap Fund|data-plan_id=39222,NIFTY 100 Total Return Index,Very High,Very High,22.1793|data-nav-reg=22.1793|data-prev-nav-reg=22.3258,24.6621|data-nav-dir=24.6621|data-prev-nav-dir=24.8239,15.46|data-1y=15.44|data-3y=11.83|data-5y=15.46|data-10y=NA|data-sl=14.69,17.54|data-1y=17.39|data-3y=13.83|data-5y=17.54|data-10y=NA|data-sl=16.81,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=NA|data-sl=15.33,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=15.33,602.38^|data-order=602.38
Open Ended,Equity,Large Cap,Mirae Asset Large Cap Fund|data-plan_id=6762,NIFTY 100 Total Return Index,Very High,Very High,108.3180|data-nav-reg=108.3180|data-prev-nav-reg=108.8820,121.4670|data-nav-dir=121.4670|data-prev-nav-dir=122.0970,14.69|data-1y=15.21|data-3y=10.59|data-5y=14.69|data-10y=13.16|data-sl=15.27,15.89|data-1y=16.34|data-3y=11.71|data-5y=15.89|data-10y=14.24|data-sl=16.79,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=12.20,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,"39,468.37^|data-order=39,468.37"
Open Ended,Equity,Large Cap,Nippon India Large Cap Fund|data-plan_id=5270,BSE 100 Total Return Index,Very High,Very High,87.5069|data-nav-reg=87.5069|data-prev-nav-reg=87.8702,97.1671|data-nav-dir=97.1671|data-prev-nav-dir=97.5681,19.44|data-1y=20.19|data-3y=20.27|data-5y=19.44|data-10y=14.01|data-sl=13.26,20.46|data-1y=21.26|data-3y=21.31|data-5y=20.46|data-10y=15.05|data-sl=17.03,17.18|data-1y=15.98|data-3y=14.01|data-5y=17.18|data-10y=13.09|data-sl=11.84,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.28,"36,484.85^|data-order=36,484.85"
Open Ended,Equity,Large Cap,PGIM India Large Cap Fund|data-plan_id=1513,NIFTY 100 Total Return Index,Very High,Very High,329.9000|data-nav-reg=329.9000|data-prev-nav-reg=332.7000,388.2100|data-nav-dir=388.2100|data-prev-nav-dir=391.4800,12.93|data-1y=12.04|data-3y=9.95|data-5y=12.93|data-10y=10.40|data-sl=17.25,14.64|data-1y=13.76|data-3y=11.62|data-5y=14.64|data-10y=12.04|data-sl=14.24,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=17.39,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,598.74^|data-order=598.74
Open Ended,Equity,Large Cap,Quant Large Cap Fund|data-plan_id=42365,NIFTY 100 Total Return Index,,Very High,14.9997|data-nav-reg=14.9997|data-prev-nav-reg=14.9899,15.5970|data-nav-dir=15.5970|data-prev-nav-dir=15.5863,--|data-1y=15.76|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=18.40,--|data-1y=17.51|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=20.35,--|data-1y=15.50|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=15.75,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=15.75,"2,525.10^^^|data-order=2,525.10"
Open Ended,Equity,Large Cap,SBI Bluechip Fund|data-plan_id=3083,BSE 100 Total Return Index,Very High,Very High,89.2157|data-nav-reg=89.2157|data-prev-nav-reg=89.6764,98.4665|data-nav-dir=98.4665|data-prev-nav-dir=98.9731,16.41|data-1y=15.25|data-3y=13.04|data-5y=16.41|data-10y=12.85|data-sl=12.28,17.26|data-1y=16.04|data-3y=13.84|data-5y=17.26|data-10y=13.83|data-sl=15.84,17.18|data-1y=15.98|data-3y=14.01|data-5y=17.18|data-10y=13.09|data-sl=13.21,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.28,"50,791.73^|data-order=50,791.73"
Open Ended,Equity,Large Cap,Sundaram Large Cap Fund|data-plan_id=41102,NIFTY 100 Total Return Index,Very High,Very High,20.9209|data-nav-reg=20.9209|data-prev-nav-reg=21.0763,22.3080|data-nav-dir=22.3080|data-prev-nav-dir=22.4730,14.57|data-1y=13.22|data-3y=11.65|data-5y=14.57|data-10y=11.71|data-sl=19.05,16.08|data-1y=14.69|data-3y=13.15|data-5y=16.08|data-10y=12.88|data-sl=20.87,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,"3,465.92^|data-order=3,465.92"
Open Ended,Equity,Large Cap,Tata Large Cap Fund|data-plan_id=509,NIFTY 100 Total Return Index,Very High,Very High,487.7991|data-nav-reg=487.7991|data-prev-nav-reg=490.9533,556.7400|data-nav-dir=556.7400|data-prev-nav-dir=560.3244,16.04|data-1y=15.14|data-3y=13.18|data-5y=16.04|data-10y=11.78|data-sl=19.14,17.13|data-1y=16.30|data-3y=14.35|data-5y=17.13|data-10y=13.12|data-sl=14.51,16.32|data-1y=15.50|data-3y=12.88|data-5y=16.32|data-10y=12.81|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.11,"2,469.36^|data-order=2,469.36"
Open Ended,Equity,Large Cap,Taurus Large Cap Fund|data-plan_id=43,BSE 100 Total Return Index,Very High,Very High,156.4200|data-nav-reg=156.4200|data-prev-nav-reg=157.4200,165.3100|data-nav-dir=165.3100|data-prev-nav-dir=166.3800,15.00|data-1y=20.15|data-3y=15.31|data-5y=15.00|data-10y=9.96|data-sl=11.02,15.12|data-1y=20.28|data-3y=15.42|data-5y=15.12|data-10y=10.55|data-sl=11.50,17.18|data-1y=15.98|data-3y=14.01|data-5y=17.18|data-10y=13.09|data-sl=12.47,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.28,49.70|data-order=49.70
Open Ended,Equity,Large Cap,Union Largecap Fund|data-plan_id=34080,BSE 100 Total Return Index,Very High,Very High,23.2500|data-nav-reg=23.2500|data-prev-nav-reg=23.4400,24.5700|data-nav-dir=24.5700|data-prev-nav-dir=24.7700,15.30|data-1y=14.64|data-3y=10.95|data-5y=15.30|data-10y=NA|data-sl=11.65,16.12|data-1y=15.68|data-3y=11.82|data-5y=16.12|data-10y=NA|data-sl=12.46,17.18|data-1y=15.98|data-3y=14.01|data-5y=17.18|data-10y=NA|data-sl=14.78,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.78,442.57|data-order=442.57
Open Ended,Equity,Large Cap,UTI Large Cap Fund|data-plan_id=22,BSE 100 Total Return Index,Very High,Very High,266.0732|data-nav-reg=266.0732|data-prev-nav-reg=266.9283,290.4060|data-nav-dir=290.4060|data-prev-nav-dir=291.3327,15.48|data-1y=14.79|data-3y=9.83|data-5y=15.48|data-10y=11.64|data-sl=17.21,16.53|data-1y=15.79|data-3y=10.81|data-5y=16.53|data-10y=12.54|data-sl=14.30,17.18|data-1y=15.98|data-3y=14.01|data-5y=17.18|data-10y=13.09|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=14.28,"12,882.63^|data-order=12,882.63"
Open Ended,Equity,Large Cap,WhiteOak Capital Large Cap Fund|data-plan_id=42711,BSE 100 Total Return Index,,Very High,14.4550|data-nav-reg=14.4550|data-prev-nav-reg=14.5610,14.9770|data-nav-dir=14.9770|data-prev-nav-dir=15.0850,--|data-1y=23.52|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=19.25,--|data-1y=25.61|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=21.29,--|data-1y=15.98|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=16.06,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=16.06,702.43^|data-order=702.43
Open Ended,Equity,Large & Mid Cap,,,,,,,,,,,
Open Ended,Equity,Large & Mid Cap,Aditya Birla Sun Life Equity Advantage Fund|data-plan_id=27,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,899.2300|data-nav-reg=899.2300|data-prev-nav-reg=901.2100,995.9400|data-nav-dir=995.9400|data-prev-nav-dir=998.1200,16.08|data-1y=18.28|data-3y=8.48|data-5y=16.08|data-10y=12.32|data-sl=16.99,17.07|data-1y=19.24|data-3y=9.39|data-5y=17.07|data-10y=13.37|data-sl=16.15,22.32|data-1y=20.40|data-3y=18.09|data-5y=22.32|data-10y=15.85|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=17.17,"5,941.64^|data-order=5,941.64"
Open Ended,Equity,Large & Mid Cap,Bandhan Core Equity Fund|data-plan_id=2797,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,131.7760|data-nav-reg=131.7760|data-prev-nav-reg=132.3450,152.6380|data-nav-dir=152.6380|data-prev-nav-dir=153.2930,23.36|data-1y=29.88|data-3y=23.30|data-5y=23.36|data-10y=15.85|data-sl=14.20,24.83|data-1y=31.40|data-3y=24.76|data-5y=24.83|data-10y=17.43|data-sl=17.09,22.32|data-1y=20.40|data-3y=18.09|data-5y=22.32|data-10y=15.85|data-sl=15.88,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=17.17,"7,803.19^|data-order=7,803.19"
Open Ended,Equity,Large & Mid Cap,Bank of India Large & Mid Cap Equity Fund|data-plan_id=8985,BSE 250 Large MidCap Total Return Index,Very High,Very High,87.5400|data-nav-reg=87.5400|data-prev-nav-reg=87.6700,99.8600|data-nav-dir=99.8600|data-prev-nav-dir=100.0100,19.65|data-1y=18.91|data-3y=15.58|data-5y=19.65|data-10y=12.12|data-sl=14.32,20.90|data-1y=20.23|data-3y=16.78|data-5y=20.90|data-10y=13.40|data-sl=15.05,18.45|data-1y=17.13|data-3y=14.75|data-5y=18.45|data-10y=13.90|data-sl=15.98,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=15.09,374.02^|data-order=374.02
Open Ended,Equity,Large & Mid Cap,Bank of India Large & Mid Cap Equity Fund✝|data-plan_id=8989,BSE 250 Large MidCap Total Return Index,Very High,Very High,95.8700|data-nav-reg=95.8700|data-prev-nav-reg=96.0200,NA|data-nav-dir=NA|data-prev-nav-dir=NA,20.33|data-1y=19.75|data-3y=16.24|data-5y=20.33|data-10y=12.86|data-sl=14.96,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,18.45|data-1y=17.13|data-3y=14.75|data-5y=18.45|data-10y=13.90|data-sl=15.98,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,374.02^|data-order=374.02
Open Ended,Equity,Large & Mid Cap,Baroda BNP Paribas Large & Mid Cap Fund|data-plan_id=41086,BSE 250 Large MidCap Total Return Index,Very High,Very High,27.8227|data-nav-reg=27.8227|data-prev-nav-reg=27.9946,29.6888|data-nav-dir=29.6888|data-prev-nav-dir=29.8712,--|data-1y=29.26|data-3y=17.64|data-5y=NA|data-10y=NA|data-sl=26.63,--|data-1y=30.95|data-3y=19.25|data-5y=NA|data-10y=NA|data-sl=28.54,--|data-1y=17.13|data-3y=14.75|data-5y=NA|data-10y=NA|data-sl=22.97,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=22.97,"1,545.05^^|data-order=1,545.05"
Open Ended,Equity,Large & Mid Cap,Canara Robeco Emerging Equities Fund|data-plan_id=2645,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,257.5200|data-nav-reg=257.5200|data-prev-nav-reg=259.2500,293.2300|data-nav-dir=293.2300|data-prev-nav-dir=295.1900,21.48|data-1y=29.05|data-3y=15.53|data-5y=21.48|data-10y=16.34|data-sl=17.80,22.86|data-1y=30.39|data-3y=16.81|data-5y=22.86|data-10y=17.66|data-sl=21.65,22.32|data-1y=20.40|data-3y=18.09|data-5y=22.32|data-10y=15.85|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=17.12,"25,359.52^|data-order=25,359.52"
Open Ended,Equity,Large & Mid Cap,DSP Equity Opportunities Fund|data-plan_id=776,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,609.1960|data-nav-reg=609.1960|data-prev-nav-reg=611.5860,676.7740|data-nav-dir=676.7740|data-prev-nav-dir=679.4110,20.90|data-1y=25.62|data-3y=19.66|data-5y=20.90|data-10y=15.65|data-sl=18.14,22.07|data-1y=26.89|data-3y=20.83|data-5y=22.07|data-10y=16.75|data-sl=18.03,22.32|data-1y=20.40|data-3y=18.09|data-5y=22.32|data-10y=15.85|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=17.17,"14,227.05^|data-order=14,227.05"
Open Ended,Equity,Large & Mid Cap,Edelweiss Large & Mid Cap Fund|data-plan_id=4871,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,87.7550|data-nav-reg=87.7550|data-prev-nav-reg=88.2590,102.4540|data-nav-dir=102.4540|data-prev-nav-dir=103.0390,21.42|data-1y=27.14|data-3y=17.95|data-5y=21.42|data-10y=14.87|data-sl=13.16,23.32|data-1y=28.99|data-3y=19.80|data-5y=23.32|data-10y=16.38|data-sl=17.75,22.32|data-1y=20.40|data-3y=18.09|data-5y=22.32|data-10y=15.85|data-sl=14.18,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=17.17,"3,849.61|data-order=3,849.61"
Open Ended,Equity,Large & Mid Cap,HDFC Large and Mid Cap Fund|data-plan_id=172,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,334.3870|data-nav-reg=334.3870|data-prev-nav-reg=335.3990,350.1800|data-nav-dir=350.1800|data-prev-nav-dir=351.2330,23.33|data-1y=21.10|data-3y=21.25|data-5y=23.33|data-10y=14.05|data-sl=13.12,24.18|data-1y=22.13|data-3y=22.26|data-5y=24.18|data-10y=14.51|data-sl=14.77,22.32|data-1y=20.40|data-3y=18.09|data-5y=22.32|data-10y=15.85|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=17.17,"24,379.18^|data-order=24,379.18"
