end_type,primary_category,category,scheme,Benchmark,Riskometer-Scheme,Riskometer-Benchmark,Nav-Regular,Nav-Direct,Return-Regular,Return-Direct,Return-BenchMark,period-return-bench-direct,Daily AUM
Close Ended,Debt,Corporate Bond,ICICI Prudential Corporate Bond Fund|data-plan_id=10505,Nifty Corporate Bond Index A-II,Low to Moderate,Moderate,28.5459|data-nav-reg=28.5459|data-prev-nav-reg=28.5391,29.8685|data-nav-dir=29.8685|data-prev-nav-dir=29.8612,7.99|data-1y=7.99|data-3y=6.68|data-5y=6.87|data-10y=7.56|data-sl=7.92,8.24|data-1y=8.24|data-3y=6.94|data-5y=7.16|data-10y=7.87|data-sl=8.19,7.58|data-1y=7.58|data-3y=5.97|data-5y=6.36|data-10y=7.23|data-sl=7.53,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=7.55,"29,129.69^|data-order=29,129.69"
Close Ended,Debt,Corporate Bond,Invesco India Corporate Bond Fund|data-plan_id=5536,Nifty Corporate Bond Index A-II,Moderate,Moderate,"3,037.9612|data-nav-reg=3,037.9612|data-prev-nav-reg=3,036.7509","3,249.2036|data-nav-dir=3,249.2036|data-prev-nav-dir=3,247.8736",8.09|data-1y=8.09|data-3y=5.85|data-5y=6.14|data-10y=6.71|data-sl=6.58,8.49|data-1y=8.49|data-3y=6.25|data-5y=6.55|data-10y=7.31|data-sl=7.40,7.58|data-1y=7.58|data-3y=5.97|data-5y=6.36|data-10y=7.23|data-sl=7.83,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=7.55,"5,671.08^|data-order=5,671.08"
Close Ended,Debt,Corporate Bond,Kotak Corporate Bond Fund|data-plan_id=5896,Nifty Corporate Bond Index A-II,Moderate,Moderate,"3,605.9605|data-nav-reg=3,605.9605|data-prev-nav-reg=3,604.5563","3,758.9262|data-nav-dir=3,758.9262|data-prev-nav-dir=3,757.4285",8.28|data-1y=8.28|data-3y=6.25|data-5y=6.38|data-10y=7.43|data-sl=7.70,8.64|data-1y=8.64|data-3y=6.62|data-5y=6.74|data-10y=7.76|data-sl=8.00,7.58|data-1y=7.58|data-3y=5.97|data-5y=6.36|data-10y=7.23|data-sl=7.83,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=7.55,"14,150.20|data-order=14,150.20"
Close Ended,Debt,Corporate Bond,Mirae Asset Corporate Bond Fund|data-plan_id=41341,CRISIL Corporate Debt A-II Index,Moderate,Low to Moderate,12.2201|data-nav-reg=12.2201|data-prev-nav-reg=12.2162,12.4287|data-nav-dir=12.4287|data-prev-nav-dir=12.4246,8.01|data-1y=8.01|data-3y=5.67|data-5y=NA|data-10y=NA|data-sl=5.41,8.50|data-1y=8.50|data-3y=6.14|data-5y=NA|data-10y=NA|data-sl=5.88,7.72|data-1y=7.72|data-3y=6.08|data-5y=NA|data-10y=NA|data-sl=5.95,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=5.95,41.83^|data-order=41.83
Close Ended,Debt,Corporate Bond,Nippon India Corporate Bond Fund|data-plan_id=846,Nifty Corporate Bond Index A-II,Moderate,Moderate,57.2758|data-nav-reg=57.2758|data-prev-nav-reg=57.2528,59.9919|data-nav-dir=59.9919|data-prev-nav-dir=59.9673,8.42|data-1y=8.42|data-3y=6.62|data-5y=6.77|data-10y=7.30|data-sl=7.44,8.82|data-1y=8.82|data-3y=6.99|data-5y=7.17|data-10y=7.72|data-sl=7.97,7.58|data-1y=7.58|data-3y=5.97|data-5y=6.36|data-10y=7.23|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=7.55,"6,557.51^|data-order=6,557.51"
Close Ended,Debt,Corporate Bond,PGIM India Corporate Bond Fund|data-plan_id=1523,CRISIL Corporate Debt A-II Index,Moderate,Low to Moderate,41.3127|data-nav-reg=41.3127|data-prev-nav-reg=41.3016,45.8532|data-nav-dir=45.8532|data-prev-nav-dir=45.8400,7.62|data-1y=7.62|data-3y=5.69|data-5y=6.09|data-10y=6.45|data-sl=6.68,8.36|data-1y=8.36|data-3y=6.45|data-5y=6.85|data-10y=7.37|data-sl=7.54,7.72|data-1y=7.72|data-3y=6.08|data-5y=6.55|data-10y=7.80|data-sl=7.98,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=8.10,94.54^|data-order=94.54
Close Ended,Debt,Corporate Bond,SBI Corporate Bond Fund|data-plan_id=38934,Nifty Corporate Bond Index A-II,Moderate,Moderate,14.8167|data-nav-reg=14.8167|data-prev-nav-reg=14.8118,15.2339|data-nav-dir=15.2339|data-prev-nav-dir=15.2287,7.89|data-1y=7.89|data-3y=5.92|data-5y=6.16|data-10y=NA|data-sl=6.86,8.38|data-1y=8.38|data-3y=6.40|data-5y=6.65|data-10y=NA|data-sl=7.36,7.58|data-1y=7.58|data-3y=5.97|data-5y=6.36|data-10y=NA|data-sl=6.93,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=6.93,"20,409.69^|data-order=20,409.69"
Close Ended,Debt,Corporate Bond,Sundaram Corporate Bond Fund|data-plan_id=2573,Nifty Corporate Bond Index A-II,Moderate,Moderate,38.4119|data-nav-reg=38.4119|data-prev-nav-reg=38.4028,39.6763|data-nav-dir=39.6763|data-prev-nav-dir=39.6667,7.98|data-1y=7.98|data-3y=5.95|data-5y=6.39|data-10y=7.38|data-sl=6.95,8.22|data-1y=8.22|data-3y=6.19|data-5y=6.63|data-10y=7.71|data-sl=7.54,7.58|data-1y=7.58|data-3y=5.97|data-5y=6.36|data-10y=7.23|data-sl=7.61,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=7.43,712.21^|data-order=712.21
Close Ended,Debt,Corporate Bond,Tata Corporate Bond Fund|data-plan_id=41866,CRISIL Corporate Debt A-II Index,Moderate,Low to Moderate,11.8548|data-nav-reg=11.8548|data-prev-nav-reg=11.8521,12.0680|data-nav-dir=12.0680|data-prev-nav-dir=12.0650,8.24|data-1y=8.24|data-3y=5.78|data-5y=NA|data-10y=NA|data-sl=5.64,8.80|data-1y=8.80|data-3y=6.38|data-5y=NA|data-10y=NA|data-sl=6.25,7.72|data-1y=7.72|data-3y=6.08|data-5y=NA|data-10y=NA|data-sl=5.95,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=5.95,"2,863.47^|data-order=2,863.47"
Close Ended,Debt,Corporate Bond,TRUSTMF Corporate Bond Fund|data-plan_id=43064,CRISIL Corporate Debt A-II Index,Moderate,Low to Moderate,"1,144.2660|data-nav-reg=1,144.2660|data-prev-nav-reg=1,143.7472","1,153.2379|data-nav-dir=1,153.2379|data-prev-nav-dir=1,152.7024",7.65|data-1y=7.65|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.13,8.08|data-1y=8.08|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.56,7.72|data-1y=7.72|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.46,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=7.46,66.50|data-order=66.50
